,0
1990,4.37
1991,-1.82
1992,2.44
1993,5.26
1994,3.45
1995,1.94
1996,4.8
1997,0.85
1998,-0.47
1999,1.88
2000,2.15
2001,-2.62
2002,4.09
2003,3.08
2004,-0.23
2005,3.21
2006,1.06
2007,4.09
2008,-5.84
2009,5.08
2010,2.67
2011,-5.49
2012,5.28
2013,2.1
2014,5.75
2015,0.74
2016,5.21
2017,3.15
2018,4.63
2019,-6.24
2020,2.47
2021,2.14
2022,6.34
2023,3.08
2024,3.66
2025,2.47
2026,2.95
2027,-2.63
2028,2.66
2029,5.15
2030,5.71
2031,-1.03
2032,4.24
2033,1.84
2034,2.84
2035,2.06
2036,-2.26
2037,4.19
2038,-0.39
2039,-1.2
2040,-1.79
2041,0.71
2042,4.87
2043,4.99
2044,4.75
2045,5.0
2046,1.4
2047,5.39
2048,5.52
2049,4.54
2050,-0.47
2051,2.17
2052,5.01
2053,-0.23
2054,5.58
2055,5.6
2056,-0.51
2057,-5.72
2058,6.5
2059,-5.11
2060,5.16
2061,2.85
2062,1.69
2063,5.09
2064,-0.6
2065,2.37
2066,3.62
2067,6.24
2068,5.72
2069,1.86
2070,2.94
2071,4.08
2072,2.77
2073,5.79
2074,-4.02
2075,4.9
2076,3.03
2077,3.44
2078,3.82
2079,1.28
2080,0.19
2081,2.6
2082,5.52
